"Action Type","Age Bucket","App","App Version","Apple Id Number","Application Name","Audio Locale","Birth Year","Caption Locale","Client ID","Connection","Content Episode Name","Content Length MS","Content Master Feature Title","Content Master Feature Vendor","Content Master Title","Content Master Vendor","Content Ownership Status","Content Season Name","Content Title","Download State","Event Date Time","Event Type","Gender","Hardware Brand","Hardware Category","Hardware Family","Hardware Model","Media Play Position MS","Media Player Height Pixel","Media Player Width Pixel","Operating System","Operating System Languages","Operating System Version","Playback Delegation","Playback View","Played Offline","Program Type","Provider Brand Name","Provider Marked Content Sensitive","Screen Height Pixel","Screen Width Pixel","Start Time","Start Type","Stop Type","Store Front Name","Subscription Currency Code","Subscription Identifier","Subscription Price","Tab","URL","Video Color Range"
"stop","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:54:25.758Z","playActivity","Male","","Mobile","iPhone","iPhone XS","2068919","630","1122","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","2436","1125","2020-02-20T16:52:33.500Z","unknown","pause","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"start","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:52:33.500Z","playActivity","Male","","Mobile","iPhone","iPhone XS","1956660","1122","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","","unknown","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"stop","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:51:43.055Z","playActivity","Male","","Mobile","iPhone","iPhone XS","1947223","1125","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","2020-02-20T16:37:31.300Z","unknown","buffering","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"start","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:37:31.300Z","playActivity","Male","","Mobile","iPhone","iPhone XS","1095553","1122","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","","unknown","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"stop","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:37:13.315Z","playActivity","Male","","Mobile","iPhone","iPhone XS","381710","1122","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","2020-02-20T16:37:08.603Z","unknown","pause","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"start","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:37:08.603Z","playActivity","Male","","Mobile","iPhone","iPhone XS","377002","1122","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","","unknown","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"stop","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:35:02.311Z","playActivity","Male","","Mobile","iPhone","iPhone XS","1067028","1122","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","2020-02-20T16:23:32.283Z","unknown","pause","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"start","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:23:32.283Z","playActivity","Male","","Mobile","iPhone","iPhone XS","376989","1125","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","","unknown","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"stop","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:20:57.943Z","playActivity","Male","","Mobile","iPhone","iPhone XS","378127","1125","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","2020-02-20T16:15:07.616Z","unknown","pause","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"start","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:15:07.616Z","playActivity","Male","","Mobile","iPhone","iPhone XS","27862","1125","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","","unknown","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"stop","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:14:58.584Z","playActivity","Male","","Mobile","iPhone","iPhone XS","27862","1125","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","2020-02-20T16:14:30.545Z","transition","pause","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"stop","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Apple TV+ Logos and Cards: Season 1: Episode 5: Dust Ident Card","25922","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:14:30.545Z","playActivity","Male","","Mobile","iPhone","iPhone XS","8843","1125","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","2020-02-20T16:14:28.089Z","unknown","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"start","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:14:30.545Z","playActivity","Male","","Mobile","iPhone","iPhone XS","0","1125","1998","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","1125","2436","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"start","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Apple TV+ Logos and Cards: Season 1: Episode 5: Dust Ident Card","25922","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:14:28.089Z","playActivity","Male","","Mobile","iPhone","iPhone XS","6388","630","1122","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","2436","1125","","unknown","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"stop","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Apple TV+ Logos and Cards: Season 1: Episode 5: Dust Ident Card","25922","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:14:28.086Z","playActivity","Male","","Mobile","iPhone","iPhone XS","6388","630","1122","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","2436","1125","2020-02-20T16:14:21.383Z","unknown","buffering","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"start","adult","Apple TV App","1.0","405952270","","en","1992","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","WiFi","Mythic Quest: Raven's Banquet","2235691","A Dark Quiet Death","com.appleTvPlus.svod.catalog:VHRQT0560105:VHRQT0560105_001","Apple TV+ Logos and Cards: Season 1: Episode 5: Dust Ident Card","25922","Subscription","Season","A Dark Quiet Death","streaming","2020-02-20T16:14:21.383Z","playActivity","Male","","Mobile","iPhone","iPhone XS","19","630","1122","iOS","en-US|el-US|ru-RU","13.3.1","","foreground","false","videoOnDemand","Apple TV+","","2436","1125","","unknown","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492378583&isExternal=true&brandId=tvs.sbd.4000&id=63890720&l=en&aec=UHD","Dolby Vision"
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Subscription","Season","Dinner Party","streaming","2020-02-20T01:07:34.183Z","playActivity","Male","Roku","TV","TV","3600X","1451000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - FRCA","33243","Subscription","Season","Dinner Party","streaming","2020-02-20T01:07:34.183Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T01:07:22.183Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - FRCA","33243","Subscription","Season","Dinner Party","streaming","2020-02-20T01:07:22.183Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - ES419","33237","Subscription","Season","Dinner Party","streaming","2020-02-20T01:07:22.183Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T01:07:10.183Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - ES419","33237","Subscription","Season","Dinner Party","streaming","2020-02-20T01:07:10.183Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
