"Action Type","Age Bucket","App","App Version","Apple Id Number","Application Name","Audio Locale","Birth Year","Caption Locale","Client ID","Connection","Content Episode Name","Content Length MS","Content Master Feature Title","Content Master Feature Vendor","Content Master Title","Content Master Vendor","Content Ownership Status","Content Season Name","Content Title","Download State","Event Date Time","Event Type","Gender","Hardware Brand","Hardware Category","Hardware Family","Hardware Model","Media Play Position MS","Media Player Height Pixel","Media Player Width Pixel","Operating System","Operating System Languages","Operating System Version","Playback Delegation","Playback View","Played Offline","Program Type","Provider Brand Name","Provider Marked Content Sensitive","Screen Height Pixel","Screen Width Pixel","Start Time","Start Type","Stop Type","Store Front Name","Subscription Currency Code","Subscription Identifier","Subscription Price","Tab","URL","Video Color Range"
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 3: Episode 2 - JA","34736","Subscription","Season","Dinner Party","streaming","2020-02-20T01:07:10.183Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T01:06:58.183Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 3: Episode 2 - JA","34736","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:58.183Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - ESES","33234","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:58.183Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T01:06:46.183Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - IT","33239","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:46.183Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T01:06:34.183Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - ESES","33234","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:46.183Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - DE","33258","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:34.183Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T01:06:22.183Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - IT","33239","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:34.183Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - PTBR","33242","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:22.183Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T01:06:10.183Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - DE","33258","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:22.183Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - PTBR","33242","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:10.183Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - FRFR","33238","Subscription","Season","Dinner Party","streaming","2020-02-20T01:06:10.183Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T01:05:58.183Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2 - FRFR","33238","Subscription","Season","Dinner Party","streaming","2020-02-20T01:05:58.183Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Subscription","Season","Dinner Party","streaming","2020-02-20T01:05:58.183Z","playActivity","Male","Roku","TV","TV","3600X","1451000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T00:41:47.324Z","play","transition","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1548383","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Dinner Party","com.appleTvPlus.svod.catalog:VHRQT0560102:VHRQT0560102_001","Subscription","Season","Dinner Party","streaming","2020-02-20T00:41:47.324Z","playActivity","Male","Roku","TV","TV","3600X","166","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","play","","US","USD","1481150412|1478184786|1472441559","4.99","watchnow","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492219253&isExternal=true&brandId=tvs.sbd.4000&id=64007812&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Mythic Quest: Raven's Banquet: Season 1: Episode 3 - FRCA","33249","Subscription","Season","The Casino","streaming","2020-02-20T00:01:17.695Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T00:01:05.695Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Subscription","Season","The Casino","streaming","2020-02-20T00:01:17.695Z","playActivity","Male","Roku","TV","TV","3600X","1460000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Mythic Quest: Raven's Banquet: Season 1: Episode 3 - ES419","33244","Subscription","Season","The Casino","streaming","2020-02-20T00:01:05.695Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T00:00:53.695Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Mythic Quest: Raven's Banquet: Season 1: Episode 3 - FRCA","33249","Subscription","Season","The Casino","streaming","2020-02-20T00:01:05.695Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Mythic Quest: Raven's Banquet: Season 1: Episode 3 - ES419","33244","Subscription","Season","The Casino","streaming","2020-02-20T00:00:53.695Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2: Episode 3 - JA","34735","Subscription","Season","The Casino","streaming","2020-02-20T00:00:53.695Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T00:00:41.695Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Mythic Quest: Raven's Banquet: Season 1: Episode 2: Episode 3 - JA","34735","Subscription","Season","The Casino","streaming","2020-02-20T00:00:41.695Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Mythic Quest: Raven's Banquet: Season 1: Episode 3 - ESES","33245","Subscription","Season","The Casino","streaming","2020-02-20T00:00:41.695Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T00:00:29.695Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
"stop","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Mythic Quest: Raven's Banquet: Season 1: Episode 3 - IT","33246","Subscription","Season","The Casino","streaming","2020-02-20T00:00:29.695Z","playActivity","Male","Roku","TV","TV","3600X","12000","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","2020-02-20T00:00:17.695Z","transition","transition","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
"start","adult","Apple TV App","5.0.0 (roku2-4R33)","405952270","","en","1992","","VZv0pz6OXE_7osIAXvMo3RVV0B_7IPDfyy45Cx0_cug","WiFi","Mythic Quest: Raven's Banquet","1557687","The Casino","com.appleTvPlus.svod.catalog:VHRQT0560103:VHRQT0560103_001","Mythic Quest: Raven's Banquet: Season 1: Episode 3 - ESES","33245","Subscription","Season","The Casino","streaming","2020-02-20T00:00:29.695Z","playActivity","Male","Roku","TV","TV","3600X","0","720","1280","Roku OS","en-us","9.2.0","","foreground","false","videoOnDemand","Apple TV+","","720","1280","","transition","","US","USD","1481150412|1478184786|1472441559","4.99","tv","https://play-edge.itunes.apple.com/WebObjects/MZPlayLocal.woa/hls/subscription/playlist.m3u8?cc=US&svcId=tvs.vds.4105&a=1492220452&isExternal=true&brandId=tvs.sbd.4000&id=64008035&l=en&aec=UHD",""
